Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,230.00,1.30,1.30,0.85,1.05,1.00,1.05,174.00,2171.03,9.95,820800.00,275400.00,204.80
ABCAPITAL,08-Apr-2024,25-Apr-2024,CE,145.00,-,-,-,61.00,61.00,58.65,-,-,-,-,-,203.15
ABCAPITAL,08-Apr-2024,25-Apr-2024,CE,150.00,-,-,-,28.00,28.00,53.65,-,-,-,5400.00,-,203.15
ABCAPITAL,08-Apr-2024,25-Apr-2024,CE,155.00,-,-,-,19.75,-,48.70,-,-,-,-,-,203.15
ABCAPITAL,08-Apr-2024,25-Apr-2024,CE,160.00,-,-,-,40.00,40.00,43.70,-,-,-,5400.00,-,203.15
ABCAPITAL,08-Apr-2024,25-Apr-2024,CE,162.50,-,-,-,21.00,21.00,41.25,-,-,-,5400.00,-,203.15
ABCAPITAL,08-Apr-2024,25-Apr-2024,CE,165.00,-,-,-,34.80,34.80,38.75,-,-,-,21600.00,-,203.15
ABCAPITAL,08-Apr-2024,25-Apr-2024,CE,167.50,-,-,-,22.55,22.55,36.30,-,-,-,5400.00,-,203.15
ABCAPITAL,08-Apr-2024,25-Apr-2024,CE,170.00,-,-,-,35.00,35.00,33.85,-,-,-,221400.00,-,203.15
ABCAPITAL,08-Apr-2024,25-Apr-2024,CE,172.50,-,-,-,18.90,18.90,31.45,-,-,-,37800.00,-,203.15
ABCAPITAL,08-Apr-2024,25-Apr-2024,CE,175.00,29.20,29.20,29.20,29.20,29.20,29.05,1.00,11.03,1.58,318600.00,-5400.00,203.15
